Title,Experience,Location,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8
Investment Banker,10+ years,Gurgaon,Excel,Valuation,Private Equity,Corporate Finance,Risk Analysis,Financial Modeling,IPO,Mergers
Investment Banker,2-5 years,Noida,Corporate Finance,Financial Modeling,Private Equity,Valuation,Excel,Risk Analysis,Mergers,IPO
Investment Banker,0-2 years,Kolkata,Corporate Finance,Risk Analysis,Financial Modeling,IPO,Valuation,Private Equity,Mergers,Excel
Investment Banker,5-10 years,Ahmedabad,Financial Modeling,Private Equity,Valuation,Corporate Finance,Mergers,Excel,IPO,Risk Analysis
Marketing Manager,5-10 years,Bangalore,Content Strategy,PPC,SEO,Email Marketing,Brand Management,Google Analytics,Google Ads,Social Media
Marketing Manager,2-5 years,Mumbai,Email Marketing,Social Media,SEO,Google Ads,Google Analytics,Brand Management,Content Strategy,PPC
Marketing Manager,2-5 years,Delhi,PPC,Google Analytics,SEO,Brand Management,Email Marketing,Google Ads,Social Media,Content Strategy
Marketing Manager,2-5 years,Hyderabad,Social Media,Google Analytics,Email Marketing,Brand Management,Google Ads,SEO,Content Strategy,PPC
Marketing Manager,0-2 years,Pune,PPC,Content Strategy,Social Media,Google Analytics,Brand Management,SEO,Google Ads,Email Marketing
Marketing Manager,5-10 years,Chennai,PPC,Google Analytics,Google Ads,SEO,Email Marketing,Content Strategy,Social Media,Brand Management
Marketing Manager,0-2 years,Gurgaon,SEO,Email Marketing,PPC,Google Analytics,Brand Management,Content Strategy,Google Ads,Social Media
Marketing Manager,5-10 years,Noida,Email Marketing,Google Analytics,Google Ads,PPC,SEO,Brand Management,Content Strategy,Social Media
Marketing Manager,5-10 years,Kolkata,Email Marketing,Google Ads,Google Analytics,Brand Management,Content Strategy,SEO,Social Media,PPC
Marketing Manager,2-5 years,Ahmedabad,SEO,Content Strategy,Email Marketing,Social Media,Google Analytics,Google Ads,PPC,Brand Management
HR Manager,10+ years,Bangalore,Employee Relations,Training,Recruitment,Performance Management,Onboarding,Payroll,Conflict Resolution,HR Policies
HR Manager,10+ years,Mumbai,Payroll,Conflict Resolution,HR Policies,Training,Employee Relations,Onboarding,Performance Management,Recruitment
HR Manager,10+ years,Delhi,HR Policies,Payroll,Performance Management,Conflict Resolution,Training,Onboarding,Employee Relations,Recruitment
HR Manager,10+ years,Hyderabad,Employee Relations,Performance Management,HR Policies,Conflict Resolution,Payroll,Training,Recruitment,Onboarding
HR Manager,10+ years,Pune,Recruitment,Performance Management,Payroll,Conflict Resolution,Onboarding,HR Policies,Training,Employee Relations
HR Manager,2-5 years,Chennai,Recruitment,Payroll,Performance Management,Conflict Resolution,Onboarding,HR Policies,Training,Employee Relations
HR Manager,0-2 years,Gurgaon,Performance Management,Onboarding,Training,HR Policies,Payroll,Employee Relations,Conflict Resolution,Recruitment
HR Manager,5-10 years,Noida,Training,Recruitment,Payroll,Performance Management,HR Policies,Onboarding,Employee Relations,Conflict Resolution
HR Manager,0-2 years,Kolkata,HR Policies,Conflict Resolution,Employee Relations,Payroll,Recruitment,Onboarding,Training,Performance Management
HR Manager,2-5 years,Ahmedabad,Training,Performance Management,HR Policies,Employee Relations,Payroll,Conflict Resolution,Recruitment,Onboarding
Doctor,2-5 years,Bangalore,Surgery,Pharmacology,Medical Ethics,Pathology,Public Health,Diagnosis,Emergency Medicine,Patient Care
Doctor,5-10 years,Mumbai,Medical Ethics,Patient Care,Diagnosis,Emergency Medicine,Pathology,Public Health,Surgery,Pharmacology
Doctor,5-10 years,Delhi,Emergency Medicine,Diagnosis,Medical Ethics,Surgery,Pharmacology,Public Health,Patient Care,Pathology
Doctor,2-5 years,Hyderabad,Medical Ethics,Public Health,Pharmacology,Surgery,Diagnosis,Emergency Medicine,Patient Care,Pathology
Doctor,5-10 years,Pune,Surgery,Emergency Medicine,Public Health,Diagnosis,Pharmacology,Medical Ethics,Pathology,Patient Care
Doctor,2-5 years,Chennai,Patient Care,Surgery,Pathology,Public Health,Emergency Medicine,Diagnosis,Medical Ethics,Pharmacology
Doctor,0-2 years,Gurgaon,Patient Care,Surgery,Pharmacology,Emergency Medicine,Diagnosis,Public Health,Medical Ethics,Pathology
Doctor,0-2 years,Noida,Surgery,Public Health,Medical Ethics,Emergency Medicine,Pharmacology,Pathology,Patient Care,Diagnosis
Doctor,5-10 years,Kolkata,Pharmacology,Patient Care,Pathology,Diagnosis,Surgery,Emergency Medicine,Medical Ethics,Public Health
Doctor,10+ years,Ahmedabad,Pathology,Emergency Medicine,Pharmacology,Surgery,Medical Ethics,Diagnosis,Public Health,Patient Care
School Teacher,10+ years,Bangalore,Public Speaking,Lesson Planning,Curriculum Development,Educational Psychology,Classroom Management,Communication,Student Assessment,Digital Learning
School Teacher,2-5 years,Mumbai,Communication,Digital Learning,Student Assessment,Educational Psychology,Lesson Planning,Curriculum Development,Classroom Management,Public Speaking
School Teacher,10+ years,Delhi,Digital Learning,Lesson Planning,Classroom Management,Public Speaking,Educational Psychology,Curriculum Development,Student Assessment,Communication
School Teacher,5-10 years,Hyderabad,Lesson Planning,Digital Learning,Curriculum Development,Communication,Educational Psychology,Public Speaking,Classroom Management,Student Assessment
School Teacher,2-5 years,Pune,Lesson Planning,Curriculum Development,Communication,Student Assessment,Digital Learning,Public Speaking,Classroom Management,Educational Psychology
School Teacher,5-10 years,Chennai,Public Speaking,Educational Psychology,Digital Learning,Curriculum Development,Communication,Classroom Management,Lesson Planning,Student Assessment
School Teacher,10+ years,Gurgaon,Public Speaking,Student Assessment,Classroom Management,Educational Psychology,Digital Learning,Lesson Planning,Curriculum Development,Communication
School Teacher,0-2 years,Noida,Student Assessment,Lesson Planning,Public Speaking,Curriculum Development,Classroom Management,Educational Psychology,Digital Learning,Communication
School Teacher,5-10 years,Kolkata,Classroom Management,Digital Learning,Lesson Planning,Educational Psychology,Curriculum Development,Student Assessment,Public Speaking,Communication
School Teacher,5-10 years,Ahmedabad,Public Speaking,Educational Psychology,Lesson Planning,Digital Learning,Classroom Management,Student Assessment,Communication,Curriculum Development
Lawyer,10+ years,Bangalore,Contract Law,Corporate Law,Criminal Law,Client Consultation,Negotiation,Legal Research,Litigation,Intellectual Property
Lawyer,0-2 years,Mumbai,Litigation,Corporate Law,Contract Law,Criminal Law,Legal Research,Negotiation,Client Consultation,Intellectual Property
Lawyer,5-10 years,Delhi,Corporate Law,Contract Law,Litigation,Client Consultation,Criminal Law,Intellectual Property,Negotiation,Legal Research
Lawyer,10+ years,Hyderabad,Intellectual Property,Contract Law,Negotiation,Criminal Law,Corporate Law,Litigation,Legal Research,Client Consultation
Lawyer,10+ years,Pune,Client Consultation,Legal Research,Criminal Law,Litigation,Corporate Law,Contract Law,Intellectual Property,Negotiation
Lawyer,10+ years,Chennai,Corporate Law,Client Consultation,Legal Research,Criminal Law,Intellectual Property,Litigation,Negotiation,Contract Law
Lawyer,2-5 years,Gurgaon,Legal Research,Intellectual Property,Corporate Law,Criminal Law,Litigation,Contract Law,Client Consultation,Negotiation
Lawyer,10+ years,Noida,Corporate Law,Legal Research,Criminal Law,Negotiation,Client Consultation,Intellectual Property,Litigation,Contract Law
Lawyer,10+ years,Kolkata,Corporate Law,Litigation,Legal Research,Client Consultation,Intellectual Property,Negotiation,Criminal Law,Contract Law
Lawyer,2-5 years,Ahmedabad,Negotiation,Legal Research,Intellectual Property,Client Consultation,Litigation,Criminal Law,Contract Law,Corporate Law
Graphic Designer,2-5 years,Bangalore,UI Design,Logo Design,Color Theory,Branding,Adobe Photoshop,Adobe Illustrator,Typography,Sketching
Graphic Designer,5-10 years,Mumbai,Color Theory,Branding,Adobe Photoshop,Typography,Logo Design,UI Design,Adobe Illustrator,Sketching
Graphic Designer,10+ years,Delhi,Typography,Sketching,UI Design,Adobe Photoshop,Logo Design,Adobe Illustrator,Branding,Color Theory
Graphic Designer,2-5 years,Hyderabad,Typography,Sketching,UI Design,Logo Design,Adobe Illustrator,Branding,Color Theory,Adobe Photoshop
Graphic Designer,10+ years,Pune,Adobe Illustrator,Logo Design,Sketching,UI Design,Adobe Photoshop,Color Theory,Branding,Typography
Graphic Designer,10+ years,Chennai,Branding,Typography,Sketching,UI Design,Logo Design,Adobe Illustrator,Adobe Photoshop,Color Theory
Graphic Designer,0-2 years,Gurgaon,Color Theory,Sketching,Typography,Branding,Logo Design,Adobe Illustrator,UI Design,Adobe Photoshop
Graphic Designer,10+ years,Noida,Typography,Color Theory,Adobe Illustrator,Branding,Sketching,UI Design,Adobe Photoshop,Logo Design
Graphic Designer,10+ years,Kolkata,Adobe Photoshop,Logo Design,Sketching,UI Design,Branding,Typography,Adobe Illustrator,Color Theory
Graphic Designer,5-10 years,Ahmedabad,Branding,Adobe Illustrator,Adobe Photoshop,Sketching,Logo Design,Typography,Color Theory,UI Design
Mechanical Engineer,5-10 years,Bangalore,Mechanical Design,CAD,Fluid Mechanics,AutoCAD,Manufacturing,Robotics,SolidWorks,Thermodynamics
Mechanical Engineer,5-10 years,Mumbai,Mechanical Design,CAD,Robotics,SolidWorks,Fluid Mechanics,Manufacturing,AutoCAD,Thermodynamics
Mechanical Engineer,5-10 years,Delhi,AutoCAD,Robotics,Thermodynamics,SolidWorks,Fluid Mechanics,Manufacturing,Mechanical Design,CAD
Mechanical Engineer,0-2 years,Hyderabad,Mechanical Design,Robotics,SolidWorks,CAD,Fluid Mechanics,Thermodynamics,Manufacturing,AutoCAD
Mechanical Engineer,10+ years,Pune,CAD,Thermodynamics,SolidWorks,Manufacturing,Mechanical Design,AutoCAD,Fluid Mechanics,Robotics
Mechanical Engineer,5-10 years,Chennai,Mechanical Design,SolidWorks,CAD,Fluid Mechanics,Thermodynamics,AutoCAD,Manufacturing,Robotics
Mechanical Engineer,5-10 years,Gurgaon,Manufacturing,CAD,AutoCAD,Robotics,SolidWorks,Thermodynamics,Fluid Mechanics,Mechanical Design
Mechanical Engineer,2-5 years,Noida,SolidWorks,CAD,Mechanical Design,Manufacturing,Thermodynamics,Robotics,AutoCAD,Fluid Mechanics
Mechanical Engineer,2-5 years,Kolkata,SolidWorks,Thermodynamics,Manufacturing,Robotics,Fluid Mechanics,CAD,Mechanical Design,AutoCAD
Mechanical Engineer,10+ years,Ahmedabad,Manufacturing,Fluid Mechanics,Mechanical Design,CAD,AutoCAD,SolidWorks,Robotics,Thermodynamics
Civil Engineer,5-10 years,Bangalore,Geotechnical Engineering,Surveying,Building Codes,Project Planning,AutoCAD,Cost Estimation,Construction Management,Structural Analysis
Civil Engineer,10+ years,Mumbai,Project Planning,AutoCAD,Surveying,Cost Estimation,Geotechnical Engineering,Structural Analysis,Construction Management,Building Codes
Civil Engineer,10+ years,Delhi,Structural Analysis,Cost Estimation,Building Codes,Project Planning,Construction Management,Geotechnical Engineering,Surveying,AutoCAD
Civil Engineer,10+ years,Hyderabad,Project Planning,Structural Analysis,Construction Management,Cost Estimation,Surveying,Building Codes,Geotechnical Engineering,AutoCAD
Civil Engineer,2-5 years,Pune,Surveying,Cost Estimation,AutoCAD,Project Planning,Geotechnical Engineering,Structural Analysis,Building Codes,Construction Management
Civil Engineer,0-2 years,Chennai,Geotechnical Engineering,Construction Management,Cost Estimation,AutoCAD,Building Codes,Surveying,Project Planning,Structural Analysis
Civil Engineer,10+ years,Gurgaon,Cost Estimation,Project Planning,AutoCAD,Geotechnical Engineering,Construction Management,Surveying,Structural Analysis,Building Codes
Civil Engineer,2-5 years,Noida,Structural Analysis,AutoCAD,Building Codes,Surveying,Project Planning,Cost Estimation,Construction Management,Geotechnical Engineering
Civil Engineer,5-10 years,Kolkata,Construction Management,Geotechnical Engineering,Project Planning,Cost Estimation,Structural Analysis,Surveying,Building Codes,AutoCAD
Civil Engineer,0-2 years,Ahmedabad,Cost Estimation,AutoCAD,Building Codes,Construction Management,Structural Analysis,Project Planning,Geotechnical Engineering,Surveying
Hotel Manager,10+ years,Bangalore,Hotel Operations,Customer Service,Hospitality,Revenue Management,Marketing,Food & Beverage,Event Management,Guest Relations
Hotel Manager,0-2 years,Mumbai,Hotel Operations,Revenue Management,Guest Relations,Event Management,Food & Beverage,Marketing,Customer Service,Hospitality
Hotel Manager,5-10 years,Delhi,Customer Service,Revenue Management,Hotel Operations,Food & Beverage,Hospitality,Event Management,Marketing,Guest Relations
Hotel Manager,5-10 years,Hyderabad,Marketing,Hospitality,Revenue Management,Guest Relations,Event Management,Customer Service,Hotel Operations,Food & Beverage
Hotel Manager,0-2 years,Pune,Event Management,Customer Service,Hospitality,Food & Beverage,Marketing,Guest Relations,Hotel Operations,Revenue Management
Hotel Manager,5-10 years,Chennai,Guest Relations,Hotel Operations,Marketing,Hospitality,Food & Beverage,Revenue Management,Event Management,Customer Service
Hotel Manager,5-10 years,Gurgaon,Event Management,Revenue Management,Food & Beverage,Hospitality,Guest Relations,Hotel Operations,Marketing,Customer Service
Hotel Manager,10+ years,Noida,Revenue Management,Guest Relations,Hotel Operations,Event Management,Hospitality,Customer Service,Marketing,Food & Beverage
Hotel Manager,2-5 years,Kolkata,Guest Relations,Customer Service,Hospitality,Event Management,Food & Beverage,Revenue Management,Hotel Operations,Marketing
Hotel Manager,0-2 years,Ahmedabad,Hotel Operations,Event Management,Guest Relations,Customer Service,Hospitality,Food & Beverage,Revenue Management,Marketing
Software Engineer,0-2 years,Bangalore,Algorithms,Python,SQL,C++,OOP,Git,Java,Data Structures
Software Engineer,10+ years,Mumbai,Python,SQL,Algorithms,Java,Git,Data Structures,OOP,C++
Software Engineer,5-10 years,Delhi,Data Structures,SQL,Git,Python,Algorithms,C++,OOP,Java
Software Engineer,5-10 years,Hyderabad,SQL,OOP,Python,Git,Algorithms,Java,C++,Data Structures
Software Engineer,5-10 years,Pune,SQL,Java,Algorithms,OOP,C++,Git,Data Structures,Python
Software Engineer,0-2 years,Chennai,C++,Git,Python,OOP,Data Structures,Java,SQL,Algorithms
Software Engineer,0-2 years,Gurgaon,SQL,OOP,Git,Python,Java,Algorithms,Data Structures,C++
Software Engineer,10+ years,Noida,SQL,OOP,C++,Java,Python,Data Structures,Git,Algorithms
Software Engineer,0-2 years,Kolkata,OOP,Java,Data Structures,SQL,C++,Git,Python,Algorithms
Software Engineer,10+ years,Ahmedabad,OOP,SQL,C++,Data Structures,Algorithms,Git,Java,Python
Data Analyst,0-2 years,Bangalore,Excel,SQL,Tableau,Data Cleaning,Power BI,Python,Visualization,Statistics
Data Analyst,10+ years,Mumbai,Tableau,SQL,Power BI,Statistics,Excel,Data Cleaning,Python,Visualization
Data Analyst,10+ years,Delhi,Statistics,Python,Tableau,Excel,SQL,Data Cleaning,Power BI,Visualization
Data Analyst,10+ years,Hyderabad,Power BI,Data Cleaning,SQL,Excel,Python,Tableau,Statistics,Visualization
Data Analyst,5-10 years,Pune,Statistics,Tableau,Power BI,Visualization,Excel,Python,Data Cleaning,SQL
Data Analyst,2-5 years,Chennai,SQL,Visualization,Data Cleaning,Power BI,Excel,Tableau,Python,Statistics
Data Analyst,0-2 years,Gurgaon,Statistics,SQL,Excel,Data Cleaning,Power BI,Tableau,Visualization,Python
Data Analyst,5-10 years,Noida,Tableau,Visualization,Statistics,Power BI,Python,Excel,Data Cleaning,SQL
Data Analyst,10+ years,Kolkata,SQL,Tableau,Excel,Power BI,Data Cleaning,Statistics,Visualization,Python
Data Analyst,0-2 years,Ahmedabad,Excel,Power BI,Tableau,Statistics,Visualization,Data Cleaning,SQL,Python
Machine Learning Engineer,2-5 years,Bangalore,Python,Big Data,Deep Learning,TensorFlow,NLP,Scikit-learn,Computer Vision,PyTorch
Machine Learning Engineer,0-2 years,Mumbai,Scikit-learn,Deep Learning,Computer Vision,Big Data,PyTorch,TensorFlow,NLP,Python
Machine Learning Engineer,2-5 years,Delhi,NLP,Deep Learning,Scikit-learn,PyTorch,Big Data,Python,Computer Vision,TensorFlow
Machine Learning Engineer,5-10 years,Hyderabad,Python,PyTorch,NLP,Computer Vision,TensorFlow,Scikit-learn,Deep Learning,Big Data
Machine Learning Engineer,0-2 years,Pune,TensorFlow,PyTorch,NLP,Scikit-learn,Computer Vision,Big Data,Deep Learning,Python
Machine Learning Engineer,5-10 years,Chennai,NLP,Computer Vision,PyTorch,Deep Learning,TensorFlow,Big Data,Python,Scikit-learn
Machine Learning Engineer,10+ years,Gurgaon,NLP,Deep Learning,Computer Vision,TensorFlow,PyTorch,Scikit-learn,Big Data,Python
Machine Learning Engineer,10+ years,Noida,Deep Learning,TensorFlow,Big Data,Python,NLP,Scikit-learn,Computer Vision,PyTorch
Machine Learning Engineer,10+ years,Kolkata,Big Data,PyTorch,Python,Deep Learning,Computer Vision,NLP,TensorFlow,Scikit-learn
Machine Learning Engineer,0-2 years,Ahmedabad,Computer Vision,Deep Learning,TensorFlow,PyTorch,Big Data,Python,NLP,Scikit-learn
Cybersecurity Analyst,10+ years,Bangalore,Ethical Hacking,Encryption,Firewalls,Linux,Network Security,SIEM,Penetration Testing,Incident Response
Cybersecurity Analyst,5-10 years,Mumbai,Linux,Firewalls,Encryption,Penetration Testing,SIEM,Ethical Hacking,Incident Response,Network Security
Cybersecurity Analyst,10+ years,Delhi,Network Security,Incident Response,SIEM,Linux,Firewalls,Ethical Hacking,Penetration Testing,Encryption
Cybersecurity Analyst,0-2 years,Hyderabad,Penetration Testing,SIEM,Linux,Ethical Hacking,Incident Response,Network Security,Encryption,Firewalls
Cybersecurity Analyst,10+ years,Pune,Incident Response,Penetration Testing,Linux,Firewalls,Network Security,Ethical Hacking,Encryption,SIEM
Cybersecurity Analyst,2-5 years,Chennai,Encryption,Penetration Testing,Ethical Hacking,SIEM,Network Security,Linux,Incident Response,Firewalls
Cybersecurity Analyst,10+ years,Gurgaon,Linux,SIEM,Firewalls,Incident Response,Penetration Testing,Encryption,Ethical Hacking,Network Security
Cybersecurity Analyst,10+ years,Noida,SIEM,Incident Response,Network Security,Linux,Penetration Testing,Firewalls,Ethical Hacking,Encryption
Cybersecurity Analyst,10+ years,Kolkata,Penetration Testing,Linux,Ethical Hacking,Encryption,SIEM,Network Security,Firewalls,Incident Response
Cybersecurity Analyst,5-10 years,Ahmedabad,Network Security,SIEM,Encryption,Penetration Testing,Incident Response,Ethical Hacking,Linux,Firewalls
DevOps Engineer,5-10 years,Bangalore,Linux,CI/CD,Kubernetes,Jenkins,AWS,Terraform,Shell Scripting,Docker
DevOps Engineer,2-5 years,Mumbai,Terraform,CI/CD,Jenkins,Kubernetes,AWS,Shell Scripting,Linux,Docker
DevOps Engineer,10+ years,Delhi,Kubernetes,Terraform,Shell Scripting,Linux,AWS,CI/CD,Docker,Jenkins
DevOps Engineer,2-5 years,Hyderabad,Linux,Kubernetes,Docker,AWS,Terraform,Jenkins,Shell Scripting,CI/CD
DevOps Engineer,5-10 years,Pune,Jenkins,CI/CD,Shell Scripting,Linux,AWS,Kubernetes,Terraform,Docker
DevOps Engineer,0-2 years,Chennai,Kubernetes,Jenkins,CI/CD,Docker,Terraform,Linux,Shell Scripting,AWS
DevOps Engineer,10+ years,Gurgaon,Kubernetes,Linux,Shell Scripting,CI/CD,AWS,Jenkins,Terraform,Docker
DevOps Engineer,10+ years,Noida,CI/CD,Linux,AWS,Jenkins,Terraform,Docker,Kubernetes,Shell Scripting
DevOps Engineer,2-5 years,Kolkata,CI/CD,Kubernetes,Jenkins,Linux,Terraform,AWS,Docker,Shell Scripting
DevOps Engineer,10+ years,Ahmedabad,Terraform,Jenkins,Kubernetes,Shell Scripting,AWS,CI/CD,Docker,Linux
Cloud Engineer,2-5 years,Bangalore,Linux,AWS,Google Cloud,Networking,DevOps,Terraform,Kubernetes,Azure
Cloud Engineer,5-10 years,Mumbai,Networking,DevOps,Azure,Terraform,Linux,Google Cloud,AWS,Kubernetes
Cloud Engineer,2-5 years,Delhi,Azure,Kubernetes,DevOps,Google Cloud,Networking,Linux,AWS,Terraform
Cloud Engineer,5-10 years,Hyderabad,Terraform,Kubernetes,AWS,Google Cloud,Azure,Networking,Linux,DevOps
Cloud Engineer,0-2 years,Pune,Terraform,Azure,Kubernetes,DevOps,Google Cloud,AWS,Networking,Linux
Cloud Engineer,10+ years,Chennai,Linux,Google Cloud,Azure,Terraform,Kubernetes,Networking,DevOps,AWS
Cloud Engineer,2-5 years,Gurgaon,Linux,DevOps,Terraform,Networking,Azure,AWS,Google Cloud,Kubernetes
Cloud Engineer,0-2 years,Noida,Azure,Linux,Terraform,Google Cloud,AWS,Kubernetes,DevOps,Networking
Cloud Engineer,10+ years,Kolkata,Linux,Kubernetes,Networking,Google Cloud,DevOps,Terraform,AWS,Azure
Cloud Engineer,0-2 years,Ahmedabad,Kubernetes,DevOps,Google Cloud,AWS,Azure,Linux,Networking,Terraform
Web Developer,0-2 years,Bangalore,Node.js,JavaScript,HTML,MongoDB,Express.js,CSS,Git,React
Web Developer,0-2 years,Mumbai,MongoDB,JavaScript,Express.js,Git,CSS,React,Node.js,HTML
Web Developer,0-2 years,Delhi,React,MongoDB,Node.js,HTML,CSS,JavaScript,Git,Express.js
Web Developer,10+ years,Hyderabad,Node.js,Git,React,Express.js,CSS,JavaScript,HTML,MongoDB
Web Developer,10+ years,Pune,React,Git,CSS,MongoDB,JavaScript,Express.js,Node.js,HTML
Web Developer,5-10 years,Chennai,HTML,Express.js,React,Node.js,Git,CSS,MongoDB,JavaScript
Web Developer,0-2 years,Gurgaon,React,MongoDB,Node.js,JavaScript,CSS,Git,Express.js,HTML
Web Developer,2-5 years,Noida,HTML,Express.js,MongoDB,Node.js,CSS,React,JavaScript,Git
Web Developer,5-10 years,Kolkata,MongoDB,Node.js,CSS,Express.js,Git,HTML,JavaScript,React
Web Developer,10+ years,Ahmedabad,Git,CSS,React,Express.js,JavaScript,MongoDB,Node.js,HTML
Full Stack Developer,0-2 years,Bangalore,JavaScript,SQL,React,API Design,MongoDB,Express,Node.js,Git
Full Stack Developer,10+ years,Mumbai,Git,API Design,Node.js,JavaScript,React,SQL,Express,MongoDB
Full Stack Developer,5-10 years,Delhi,API Design,Git,SQL,Express,JavaScript,Node.js,React,MongoDB
Full Stack Developer,10+ years,Hyderabad,Node.js,React,MongoDB,Express,Git,API Design,SQL,JavaScript
Full Stack Developer,0-2 years,Pune,API Design,Express,JavaScript,React,Git,SQL,MongoDB,Node.js
Full Stack Developer,10+ years,Chennai,JavaScript,API Design,Express,Node.js,MongoDB,SQL,Git,React
Full Stack Developer,10+ years,Gurgaon,Git,SQL,Node.js,JavaScript,React,API Design,MongoDB,Express
Full Stack Developer,2-5 years,Noida,API Design,JavaScript,Git,Express,SQL,React,Node.js,MongoDB
Full Stack Developer,2-5 years,Kolkata,Express,React,API Design,Git,Node.js,SQL,MongoDB,JavaScript
Full Stack Developer,2-5 years,Ahmedabad,SQL,Git,React,MongoDB,API Design,JavaScript,Node.js,Express
Finance Analyst,10+ years,Bangalore,SQL,Accounting,Financial Modeling,Budgeting,Excel,Investment Analysis,Power BI,Forecasting
Finance Analyst,0-2 years,Mumbai,Excel,Forecasting,Financial Modeling,Power BI,Budgeting,Accounting,SQL,Investment Analysis
Finance Analyst,0-2 years,Delhi,Forecasting,Excel,SQL,Budgeting,Accounting,Investment Analysis,Financial Modeling,Power BI
Finance Analyst,2-5 years,Hyderabad,Budgeting,Forecasting,Investment Analysis,SQL,Financial Modeling,Excel,Power BI,Accounting
Finance Analyst,10+ years,Pune,Power BI,Forecasting,Financial Modeling,Excel,Budgeting,Accounting,SQL,Investment Analysis
Finance Analyst,10+ years,Chennai,Investment Analysis,Excel,SQL,Financial Modeling,Power BI,Budgeting,Forecasting,Accounting
Finance Analyst,5-10 years,Gurgaon,Excel,Accounting,Financial Modeling,Forecasting,Budgeting,SQL,Power BI,Investment Analysis
Finance Analyst,10+ years,Noida,Forecasting,Budgeting,Accounting,SQL,Financial Modeling,Power BI,Excel,Investment Analysis
Finance Analyst,5-10 years,Kolkata,Excel,Financial Modeling,SQL,Investment Analysis,Accounting,Power BI,Budgeting,Forecasting
Finance Analyst,10+ years,Ahmedabad,Accounting,Financial Modeling,Excel,Investment Analysis,SQL,Forecasting,Power BI,Budgeting
Investment Banker,5-10 years,Bangalore,Risk Analysis,Financial Modeling,Corporate Finance,Valuation,Private Equity,Mergers,IPO,Excel
Investment Banker,5-10 years,Mumbai,Corporate Finance,Risk Analysis,Excel,Financial Modeling,Valuation,Mergers,IPO,Private Equity
Investment Banker,5-10 years,Delhi,Financial Modeling,Corporate Finance,Valuation,Private Equity,Excel,Mergers,Risk Analysis,IPO
Investment Banker,2-5 years,Hyderabad,Risk Analysis,IPO,Excel,Valuation,Private Equity,Financial Modeling,Mergers,Corporate Finance
Investment Banker,5-10 years,Pune,Corporate Finance,Mergers,IPO,Risk Analysis,Valuation,Private Equity,Financial Modeling,Excel
Investment Banker,10+ years,Chennai,IPO,Private Equity,Corporate Finance,Valuation,Risk Analysis,Financial Modeling,Excel,Mergers
Investment Banker,0-2 years,Gurgaon,Excel,Risk Analysis,Valuation,Financial Modeling,Private Equity,IPO,Corporate Finance,Mergers
Investment Banker,2-5 years,Noida,Valuation,IPO,Excel,Private Equity,Financial Modeling,Risk Analysis,Corporate Finance,Mergers
Investment Banker,5-10 years,Kolkata,Financial Modeling,Corporate Finance,IPO,Excel,Mergers,Risk Analysis,Private Equity,Valuation
Investment Banker,2-5 years,Ahmedabad,Valuation,Financial Modeling,Mergers,Risk Analysis,Corporate Finance,IPO,Excel,Private Equity
Marketing Manager,0-2 years,Bangalore,Google Analytics,PPC,Content Strategy,SEO,Brand Management,Social Media,Google Ads,Email Marketing
Marketing Manager,10+ years,Mumbai,Social Media,Email Marketing,Brand Management,Google Ads,Content Strategy,SEO,Google Analytics,PPC
Marketing Manager,2-5 years,Delhi,SEO,Email Marketing,Social Media,Google Analytics,Content Strategy,Google Ads,Brand Management,PPC
Marketing Manager,2-5 years,Hyderabad,Email Marketing,Brand Management,PPC,Google Analytics,SEO,Google Ads,Social Media,Content Strategy
Marketing Manager,2-5 years,Pune,PPC,Google Ads,Content Strategy,Google Analytics,SEO,Email Marketing,Social Media,Brand Management
Marketing Manager,2-5 years,Chennai,PPC,SEO,Social Media,Brand Management,Google Analytics,Google Ads,Email Marketing,Content Strategy
Marketing Manager,5-10 years,Gurgaon,Email Marketing,PPC,SEO,Google Analytics,Google Ads,Social Media,Brand Management,Content Strategy
Marketing Manager,10+ years,Noida,PPC,Google Analytics,Content Strategy,Email Marketing,Social Media,Google Ads,Brand Management,SEO
Marketing Manager,10+ years,Kolkata,Social Media,PPC,Content Strategy,SEO,Google Ads,Brand Management,Email Marketing,Google Analytics
Marketing Manager,2-5 years,Ahmedabad,Brand Management,Google Analytics,SEO,Google Ads,Content Strategy,Email Marketing,Social Media,PPC
HR Manager,10+ years,Bangalore,Training,Payroll,Recruitment,Employee Relations,Performance Management,Conflict Resolution,HR Policies,Onboarding
HR Manager,10+ years,Mumbai,Conflict Resolution,Performance Management,Employee Relations,Onboarding,Payroll,Recruitment,HR Policies,Training
HR Manager,0-2 years,Delhi,Conflict Resolution,Onboarding,Employee Relations,Performance Management,Training,Recruitment,Payroll,HR Policies
HR Manager,0-2 years,Hyderabad,Conflict Resolution,HR Policies,Training,Payroll,Onboarding,Employee Relations,Recruitment,Performance Management
HR Manager,2-5 years,Pune,Employee Relations,Onboarding,HR Policies,Conflict Resolution,Training,Recruitment,Performance Management,Payroll
HR Manager,10+ years,Chennai,Training,HR Policies,Payroll,Employee Relations,Conflict Resolution,Performance Management,Onboarding,Recruitment
HR Manager,2-5 years,Gurgaon,Training,Conflict Resolution,HR Policies,Onboarding,Recruitment,Payroll,Employee Relations,Performance Management
HR Manager,10+ years,Noida,Conflict Resolution,Training,Performance Management,Recruitment,Payroll,Onboarding,Employee Relations,HR Policies
